# HANDGEPFLEGT - 167 Teams.
# team_id kodiert das START-Tier als Lesehilfe (1001 = Tier 1, lfd. Nr. 1).
# Nach dem ersten Saisonwechsel ist diese Kodierung semantisch falsch und
# darf im Code nie als Tier-Quelle dienen.
# Sortierung nach team_id ist verbindlich, damit Diffs lesbar bleiben.
# Prestige-Baender und Archetyp-Mischung je Liga:
#   docs/DATENMODELL_APEX_M0.md, Abschnitte 15.3 und 15.5.
# history_best_tier < start_tier kennzeichnet gefallene Riesen - erwuenscht,
# etwa jedes zehnte Team in Tier 5-9.
team_id,name,short_name,code,country,city,founded_year,start_tier,colour_primary,colour_secondary,ai_archetype,prestige,start_capital,engine_supplier_id,is_works_team,history_titles,history_best_tier,flavour
1009,Nimbus Aero Racing,Nimbus,NMB,NLD,Eindhoven,2016,1,#FF6A00,#0B1B2B,tech_startup,78,19000000,,0,0,1,"Extreme Unterbodenkonzepte, extreme Ausfallquote. Das Fahrerlager nennt sie das Labor."
1010,Redmoor Grand Prix,Redmoor,RDM,GBR,Banbury,1998,1,#7A1F3D,#E4D5A1,climber,81,22000000,,0,1,1,"Stieg dreimal auf und zweimal ab. Diesmal soll es halten."
1011,Praetor Racing,Praetor,PRT,CHE,Zug,2003,1,#2E2E38,#B0B7C3,privateer,78,20000000,,0,0,1,"Kundenmotor, schlanke Struktur, kein Werk im Rücken – und trotzdem regelmäßig in den Punkten."
#
# ---- Tier 2: World Series (12) ----
2001,Sagitta Corse,Sagitta,SGT,ITA,Bologna,1971,2,#8B0000,#EFEFEF,works_team,86,21000000,,1,2,1,"War schon oben. Der Rückweg dauert länger, als der Vorstand versprochen hat."
2002,Oslo Motorworks,Oslo MW,OMW,NOR,Oslo,1994,2,#00205B,#7FD4F0,works_team,82,18000000,,1,0,2,"Skandinavisches Werksprogramm mit langem Atem und einem Budget, das nie überrascht."
2003,Kingsbridge Racing,Kingsbridge,KGB,GBR,Bicester,1959,2,#1D3557,#E63946,traditional,85,19000000,,0,3,1,"Drei Titel, alle vor 1990. Die Pokale stehen im Empfang, die Fabrik ist von damals."
2004,Rheinstern Motorsport,Rheinstern,RST,DEU,Köln,1963,2,#4A4A4A,#00B2A9,traditional,80,16000000,,0,1,1,"Solide bis zur Langeweile. Genau deshalb seit sechzig Jahren im Geschäft."
2005,Auvergne Compétition,Auvergne,AVG,FRA,Clermont-Ferrand,1974,2,#1B4332,#F2E8CF,traditional,78,15000000,,0,0,1,"Familienbesitz in dritter Generation. Verkauft wird nicht, koste es, was es wolle."
2006,Silverpine Racing,Silverpine,SVP,GBR,Norwich,2005,2,#C0C0C0,#004225,climber,79,15000000,,0,0,2,"Kam aus Tier 6 in acht Jahren nach oben. Der Aufstieg ist ihr einziges Geschäftsmodell."
2007,Bandeira Racing,Bandeira,BDR,BRA,São Paulo,2001,2,#009739,#FEDD00,climber,76,13000000,,0,0,2,"Südamerikas ehrgeizigstes Team. Finanziert sich über Fahrerverkäufe nach Europa."
2008,Kestrel Autosport,Kestrel,KST,AUS,Melbourne,2009,2,#00843D,#FFB81C,climber,74,12000000,,0,0,2,"Überinvestiert seit zwei Saisons. Ein Aufstieg rettet die Bilanz, ein Abstieg beendet sie."
2009,Quantum Slipstream,Quantum,QSS,USA,Austin,2018,2,#5B2C8D,#00E0C7,tech_startup,77,14000000,,0,0,2,"Simulationsgetrieben bis zur Sturheit. Der Windkanal steht fast leer."
2010,Aeronord Systems,Aeronord,ANS,SWE,Göteborg,2015,2,#0057B7,#FFFFFF,tech_startup,73,11000000,,0,0,2,"Baut Flügel wie Flugzeugbauer. Manchmal ist das ein Vorteil."
2011,Marchetti Privateers,Marchetti,MCH,ITA,Modena,1988,2,#2F2F2F,#D2691E,privateer,72,11000000,,0,0,2,"Kundenmotor, zwei Pay Driver, schwarze Zahlen. Der Vorstand fragt nie nach Podien."
2012,Halvorsen Racing,Halvorsen,HVR,DNK,Aarhus,1996,2,#C60C30,#FFFFFF,privateer,70,10000000,,0,0,2,"Kleinste Belegschaft der Liga, beste Zuverlässigkeitsquote. Kein Zufall."
#
# ---- Tier 3: Intercontinental Cup (14) ----
3001,Toyoda Works Racing,Toyoda,TYW,JPN,Nagoya,1979,3,#E60012,#1A1A1A,works_team,78,10000000,,1,1,2,"Werksprogramm mit Rückkehrabsicht. Der Konzern hat drei Jahre Geduld zugesagt."
3002,Ashgrove Motors,Ashgrove,ASH,GBR,Silverstone,1951,3,#014421,#D4AF37,traditional,76,9000000,,0,2,1,"Gewann 1963 und 1966 den Titel. Seither ein sehr langer Abstieg."
3003,Ferrand Sport,Ferrand,FRD,FRA,Le Mans,1966,3,#003366,#F0A202,traditional,73,8000000,,0,0,2,"Kommt vom Langstreckensport und denkt immer noch in Stints statt in Runden."
3004,Bergwerk Rennsport,Bergwerk,BGW,AUT,Graz,1969,3,#7C0A02,#DDDDDD,traditional,71,7500000,,0,0,2,"Alpine Sturheit als Betriebsprinzip. Entwickelt langsam, aber nie in die falsche Richtung."
3005,Corsair Racing Team,Corsair,CRS,GBR,Leeds,2007,3,#1C2841,#FF4C29,climber,74,8500000,,0,0,3,"Vier Aufstiege in sechzehn Jahren. Der fünfte ist eingeplant, nicht erhofft."
3006,Vela Roja,Vela Roja,VLR,ESP,Valencia,2004,3,#AA151B,#F1BF00,climber,70,7000000,,0,0,3,"Mediterranes Temperament, deutsche Ingenieure. Es funktioniert überraschend gut."
3007,Ridgeline Motorsport,Ridgeline,RDG,CAN,Toronto,2010,3,#D80621,#2B2B2B,climber,68,6500000,,0,0,3,"Nordamerikas leiseste Erfolgsgeschichte. Wächst seit acht Jahren um genau einen Platz pro Saison."
3008,Zenit Autosport,Zenit,ZNT,POL,Kraków,2012,3,#DC143C,#FFFFFF,climber,66,6000000,,0,0,3,"Osteuropas Aushängeschild. Der Fahrermarkt hat sie noch nicht entdeckt, der Personalmarkt schon."
3009,Axiom Performance,Axiom,AXM,GBR,Cambridge,2017,3,#00C2A8,#20232A,tech_startup,69,6800000,,0,0,3,"Betreibt mehr Rechenzeit als Windkanalzeit. Die Konkurrenz hält das für einen Fehler."
3010,Delta Nine Racing,Delta Nine,DLT,NLD,Assen,2019,3,#FF8C00,#1E1E24,tech_startup,65,5800000,,0,0,3,"Jüngstes Team der Liga. Fährt Konzepte, die anderswo erst in zwei Jahren erlaubt wären."
3011,Guerrero Privateers,Guerrero,GRR,MEX,Puebla,1993,3,#006341,#CE1126,privateer,67,6200000,,0,0,3,"Bringt seit dreißig Jahren mexikanische Fahrer nach Europa. Zwei davon fahren heute Tier 1."
3012,Karlsson Racing,Karlsson,KRL,SWE,Malmö,1997,3,#005B99,#FECC02,privateer,64,5500000,,0,0,3,"Werkstatt statt Fabrik. Repariert schneller, als andere entwickeln."
3013,Nakamura Privateer Team,Nakamura,NKM,JPN,Suzuka,2000,3,#1C1C1C,#E8B4B8,privateer,62,5200000,,0,0,3,"Kundenteam aus Überzeugung. Ein Werksvertrag wurde zweimal abgelehnt."
3014,Aurora Junior Racing,Aurora,ARJ,FIN,Helsinki,2014,3,#003580,#7FFFD4,academy,61,5000000,,0,0,3,"Nachwuchsprogramm mit eigener Kartserie. Verkauft Talente, bevor sie teuer werden."
#
# ---- Tier 4: Continental Prime (16) ----
4001,Halden Werksteam,Halden,HLD,DEU,Hannover,1982,4,#00539F,#C8C8C8,works_team,70,5000000,,1,0,3,"Zweitwerk eines Herstellers. Das erste Team fährt drei Ligen höher – und bekommt alles zuerst."
4002,Thornbury Racing,Thornbury,THB,GBR,Bristol,1955,4,#4B2E39,#E0C068,traditional,68,4600000,,0,1,2,"Ein Titel, 1971. Die Belegschaft erzählt ihn, als wäre er letztes Jahr gewesen."
4003,Piemonte Corse,Piemonte,PMT,ITA,Turin,1961,4,#004D40,#FFD600,traditional,66,4300000,,0,0,2,"Turiner Handwerk. Baut Getriebe, die andere Teams heimlich nachbauen."
4004,Lusitania Racing,Lusitania,LUS,PRT,Estoril,1972,4,#046A38,#DA291C,traditional,64,4000000,,0,0,3,"Iberische Beständigkeit ohne jeden Ehrgeiz nach oben. Der Besitzer nennt das Vernunft."
4005,Northwind Autosport,Northwind,NWD,IRL,Dublin,2008,4,#169B62,#FF883E,climber,67,4400000,,0,0,4,"Kam aus dem Nichts und steht nach fünfzehn Jahren zwei Ligen höher als geplant."
4006,Catalunya Ascent,Catalunya,CTA,ESP,Girona,2011,4,#FCDD09,#DA121A,climber,63,3900000,,0,0,4,"Der Name ist Programm. Drei Aufstiege, kein einziger Abstieg."
4007,Pampas Racing,Pampas,PMP,ARG,Córdoba,2006,4,#74ACDF,#FFFFFF,climber,61,3600000,,0,0,4,"Argentiniens einziges Team über Tier 6. Fährt mit halbem Budget und doppeltem Willen."
4008,Hanseat Motorsport,Hanseat,HNS,DEU,Hamburg,2013,4,#DA291C,#FFFFFF,climber,59,3400000,,0,0,4,"Kaufmännisch geführt bis ins Detail. Steigt nur auf, wenn die Bilanz es erlaubt."
4009,Vector Labs Racing,Vector Labs,VCL,USA,San Jose,2020,4,#6C63FF,#101820,tech_startup,62,3800000,,0,0,4,"Software-Haus mit Rennteam. Der Simulator ist besser als das Auto."
4010,Fluxline Engineering,Fluxline,FLX,GBR,Reading,2018,4,#00BFA6,#2C2C34,tech_startup,58,3300000,,0,0,4,"Verkauft Aerodynamik-Beratung an die halbe Liga und schlägt trotzdem niemanden."
4011,Okuda Privateers,Okuda,OKD,JPN,Okayama,1991,4,#282828,#F25C05,privateer,60,3500000,,0,0,4,"Kundenteam mit eigener Fertigung. Ersatzteile kommen nie zu spät."
4012,Bruyère Sport,Bruyère,BRY,BEL,Spa,1989,4,#000000,#FDDA24,privateer,57,3200000,,0,0,4,"Sitzt an der Strecke, an der alle gewinnen wollen. Heimrennen ist hier keine Floskel."
4013,Slavic Star Racing,Slavic Star,SLV,CZE,Brno,1998,4,#11457E,#D7141A,privateer,55,3000000,,0,0,4,"Zwei Autos, ein Transporter, keine Schulden. Das ist die ganze Strategie."
4014,Adriatic Privateers,Adriatic,ADP,HRV,Rijeka,2002,4,#171796,#FF0000,privateer,53,2800000,,0,0,4,"Kleinstes Budget der Liga und trotzdem sechs Saisons in Folge nicht abgestiegen."
4015,Falcon Academy Racing,Falcon,FCA,GBR,Milton Keynes,2015,4,#1F3A93,#F5A623,academy,56,3100000,,0,0,4,"Nachwuchsschmiede eines Tier-1-Teams. Die besten Fahrer verlassen sie planmäßig nach zwei Jahren."
4016,Sunrise Youth Team,Sunrise,SNY,KOR,Incheon,2016,4,#CD2E3A,#0047A0,academy,54,2900000,,0,0,4,"Koreas Antwort auf die europäischen Akademien. Jünger als jeder Konkurrent im Feld."
#
# ---- Tier 5: Continental Series (16) ----
5001,Whitmore Racing,Whitmore,WTM,GBR,Sheffield,1957,5,#3D2B1F,#C5B358,traditional,61,2700000,,0,0,3,"War in den Achtzigern zwei Ligen höher. Der Niedergang war langsam und gut dokumentiert."
5002,Savoia Corse,Savoia,SVA,ITA,Milan,1964,5,#1B1B3A,#E0A458,traditional,58,2400000,,0,0,4,"Mailänder Traditionshaus. Sponsoren bleiben aus Loyalität, nicht wegen der Ergebnisse."
5003,Loire Compétition,Loire,LOI,FRA,Nantes,1970,5,#2A4B7C,#F4E4C1,traditional,56,2200000,,0,0,4,"Fährt seit 1970 dieselbe Lackierung. Es hat noch nie jemand vorgeschlagen, das zu ändern."
5004,Steppe Motorsport,Steppe,STP,KAZ,Almaty,2014,5,#00AFCA,#FEC50C,climber,59,2500000,,0,0,5,"Zentralasiens erstes ernstzunehmendes Team. Wächst schneller, als die Liga es gewohnt ist."
5005,Highveld Racing,Highveld,HVD,ZAF,Johannesburg,2009,5,#007A4D,#FFB612,climber,55,2100000,,0,0,5,"Trainiert auf 1750 Metern Höhe. Der Motorenprüfstand ist entsprechend gnadenlos."
5006,Baltic Rise,Baltic Rise,BLR,LTU,Kaunas,2012,5,#FDB913,#006A44,climber,52,1900000,,0,0,5,"Vier Aufstiege in elf Jahren, finanziert ausschließlich aus Fahrerablösen."
5007,Anatolia Autosport,Anatolia,ANA,TUR,Istanbul,2011,5,#E30A17,#FFFFFF,climber,50,1750000,,0,0,5,"Größte Zuschauerzahlen der Liga, kleinstes Entwicklungsbudget. Beides hängt zusammen."
5008,Ionflow Racing,Ionflow,ION,DNK,Odense,2019,5,#00D1B2,#232B2B,tech_startup,53,2000000,,0,0,5,"Setzt alles auf Energierückgewinnung. In zwei von drei Rennen zahlt es sich aus."
5009,Rossiter Privateers,Rossiter,RSS,GBR,Derby,1986,5,#5D4E60,#E8DAB2,privateer,54,2050000,,0,0,5,"Lebt von Kundenaufträgen anderer Teams. Das eigene Auto ist fast ein Nebenprodukt."
5010,Delacroix Sport,Delacroix,DLX,FRA,Dijon,1992,5,#3E1F47,#F0C987,privateer,51,1850000,,0,0,5,"Burgundische Gelassenheit. Hat nie mehr ausgegeben, als hereinkam."
5011,Vermeulen Racing,Vermeulen,VMR,NLD,Zandvoort,1995,5,#FF7900,#003DA5,privateer,49,1700000,,0,0,5,"Dünenluft und Sturheit. Kennt jeden Sandkorneffekt an der Heimstrecke."
5012,Alpine Ridge Privateers,Alpine Ridge,ALR,CHE,Bern,1999,5,#D52B1E,#FFFFFF,privateer,47,1600000,,0,0,5,"Schweizer Präzision im Kleinformat. Boxenstopps sind ihre einzige Waffe."
5013,Estrella Racing,Estrella,ESR,MEX,Monterrey,2003,5,#006847,#CE1126,privateer,45,1500000,,0,0,5,"Zwei Pay Driver, ein Titelsponsor aus der Getränkebranche, keine Illusionen."
5014,Petrel Academy,Petrel,PTL,NZL,Auckland,2017,5,#000000,#00B2A9,academy,48,1650000,,0,0,5,"Am anderen Ende der Welt und trotzdem im Notizbuch jedes europäischen Scouts."
5015,Kobayashi Youth Racing,Kobayashi,KBY,JPN,Fuji,2015,5,#BC002D,#F8F8F8,academy,46,1550000,,0,0,5,"Strengste Nachwuchsschule im Feld. Wer zwei Jahre bleibt, kann fahren."
5016,Nordlicht Nachwuchs,Nordlicht,NLN,DEU,Kiel,2018,5,#00A9CE,#0D1B2A,academy,44,1450000,,0,0,5,"Gegründet, weil dem Gründer die Ablösesummen für Talente zu hoch wurden."
#
# ---- Tier 6: Challenger Series (18) ----
6001,Barrowfield Racing,Barrowfield,BRF,GBR,Nottingham,1960,6,#4A5D23,#D9C7A0,traditional,53,1400000,,0,0,4,"Sechzig Jahre im Geschäft, nie höher als Tier 4. Damit hat sich hier jeder abgefunden."
6002,Tirreno Corse,Tirreno,TIR,ITA,Pescara,1967,6,#0067A5,#F5E6CA,traditional,50,1250000,,0,0,5,"Adriatische Gemütlichkeit mit erstaunlich guten Renningenieuren."
6003,Ardennes Sport,Ardennes,ARD,BEL,Liège,1973,6,#154360,#F7DC6F,traditional,48,1150000,,0,0,5,"Regenspezialisten aus Prinzip. Bei Trockenheit fehlen ihnen vier Zehntel."
6004,Carpathia Rising,Carpathia,CPR,ROU,Cluj-Napoca,2013,6,#002B7F,#FCD116,climber,51,1300000,,0,0,6,"Der Name war Übermut, dann wurde er Programm. Zwei Aufstiege in fünf Jahren."
6005,Bosphorus Racing,Bosphorus,BSP,TUR,İzmir,2015,6,#C8102E,#1C1C1C,climber,47,1100000,,0,0,6,"Zweites türkisches Team der Pyramide. Jagt das erste seit seiner Gründung."
6006,Andes Motorsport,Andes,AND,CHL,Santiago,2010,6,#0039A6,#D52B1E,climber,45,1000000,,0,0,6,"Chilenisches Familienprojekt mit Höhenstreckenerfahrung, die sonst niemand hat."
6007,Mekong Racing,Mekong,MKG,VNM,Hanoi,2016,6,#DA251D,#FFCD00,climber,42,900000,,0,0,6,"Südostasiens Vorreiter. Wird in fünf Jahren entweder Tier 3 sein oder gar nicht mehr."
6008,Photon Drive Racing,Photon,PHD,GBR,Coventry,2020,6,#7B2FF7,#00F5D4,tech_startup,44,950000,,0,0,6,"Drei Ingenieure, ein Rechencluster, kein Windkanal. Und trotzdem Mittelfeld."
6009,Kessler Motorsport,Kessler,KSL,DEU,Ingolstadt,1994,6,#1A1A1A,#E8541F,privateer,46,780000,,0,0,3,"Stand einmal in Tier 3. Die Fabrik von damals kostet noch heute mehr, als die Liga einbringt."
6010,Marek Privateers,Marek,MRK,POL,Poznań,1990,6,#DC143C,#F5F5F5,privateer,41,850000,,0,0,5,"Vom Gründer bis zum letzten Mechaniker dieselben Leute wie vor zwanzig Jahren."
6011,Brennan Racing,Brennan,BRN,IRL,Cork,1996,6,#169B62,#FF883E,privateer,40,820000,,0,0,6,"Irische Sparsamkeit. Kauft Vorjahresteile und macht sie schneller als die neuen."
6012,Kalmar Privateers,Kalmar,KMR,SWE,Kalmar,2001,6,#006AA7,#FECC00,privateer,39,790000,,0,0,6,"Winterpause heißt hier acht Monate. Umso besser vorbereitet ist der Saisonstart."
6013,Basque Privateer Team,Basque,BSQ,ESP,Bilbao,2004,6,#009B48,#D52B1E,privateer,38,760000,,0,0,6,"Regional verwurzelt bis zur Sturheit. Fährt keinen einzigen Sponsor aus dem Ausland."
6014,Vltava Racing,Vltava,VLT,CZE,Prague,2007,6,#11457E,#FFFFFF,privateer,37,730000,,0,0,6,"Tschechische Motorenbaukunst in einem Auto, das dafür zu schwer ist."
6015,Rising Sun Academy,Rising Sun,RSA,JPN,Sendai,2016,6,#BC002D,#EFEFEF,academy,42,880000,,0,0,6,"Speist drei höherklassige Teams mit Fahrern und behält selbst immer den zweitbesten."
6016,Cape Youth Racing,Cape Youth,CPY,ZAF,Cape Town,2018,6,#007A4D,#FFB612,academy,39,800000,,0,0,6,"Sucht Talente in Kartbahnen, die auf keiner Scoutingliste stehen."
6017,Maple Junior Team,Maple,MPL,CAN,Montreal,2019,6,#D80621,#FFFFFF,academy,38,770000,,0,0,6,"Gegründet von einem ehemaligen Tier-1-Fahrer, der nie eine Akademie hatte."
6018,Adriatic Youth,Adriatic Y,ADY,SVN,Ljubljana,2020,6,#0000FF,#FF0000,academy,36,700000,,0,0,6,"Jüngstes Team der Liga, jüngster Kader der ganzen Pyramide."
#
# ---- Tier 7: National Elite (18) ----
7001,Kentmere Racing,Kentmere,KTM,GBR,Carlisle,1962,7,#2F4F4F,#DEB887,traditional,45,680000,,0,0,5,"Nordenglische Beharrlichkeit. Vier Jahrzehnte dieselbe Werkstatt, dieselbe Familie."
7002,Umbria Corse,Umbria,UMB,ITA,Perugia,1975,7,#556B2F,#F5DEB3,traditional,42,600000,,0,0,6,"Fährt seit fünfzig Jahren, hat nie ein Rennen gewonnen und denkt nicht ans Aufhören."
7003,Normandie Sport,Normandie,NMD,FRA,Rouen,1980,7,#41436A,#F1E3D3,traditional,40,560000,,0,0,6,"Ehemaliges Rallye-Team. Die Mechaniker können alles, nur keine Aerodynamik."
7004,Volga Ascent,Volga,VLG,RUS,Kazan,2014,7,#0039A6,#FFFFFF,climber,43,630000,,0,0,7,"Zwei Aufstiege in Folge, dann eine Saison Pause zum Luftholen."
7005,Iberia Rising,Iberia,IBR,ESP,Zaragoza,2012,7,#AA151B,#F1BF00,climber,39,540000,,0,0,7,"Der Plan sieht Tier 4 in sechs Jahren vor. Bisher liegt er im Zeitplan."
7006,Great Lakes Racing,Great Lakes,GLK,USA,Detroit,2016,7,#0C2340,#C8102E,climber,36,480000,,0,0,7,"Aus einer stillgelegten Zulieferfabrik entstanden. Fertigt mehr selbst als jedes Team der Liga."
7007,Kinetiq Racing,Kinetiq,KNQ,GBR,Swindon,2021,7,#00E5FF,#1A1A2E,tech_startup,37,500000,,0,0,7,"Zwei Jahre alt und schon mit einem eigenen Getriebekonzept, das andere kopieren."
7008,Fenwick Privateers,Fenwick,FNW,GBR,Doncaster,1984,7,#6B4226,#E3D5B8,privateer,38,510000,,0,0,7,"Kauft, repariert, verkauft. Rennen fahren ist fast ein Nebengeschäft."
7009,Garonne Sport,Garonne,GRN,FRA,Bordeaux,1991,7,#722F37,#EFE3C2,privateer,35,460000,,0,0,7,"Weinregion, Rennstall, dieselbe Familie. Die Prioritäten wechseln je nach Jahrgang."
7010,Tagus Privateers,Tagus,TGS,PRT,Setúbal,1997,7,#046A38,#FFE900,privateer,34,440000,,0,0,7,"Kleinstes Personal der Liga. Der Teamchef fährt den Transporter selbst."
7011,Donau Rennsport,Donau,DNU,AUT,Linz,2000,7,#ED2939,#FFFFFF,privateer,33,420000,,0,0,7,"Zuverlässig ins Ziel, selten nach vorn. Genau das war immer der Plan."
7012,Trakya Motorsport,Trakya,TRK,TUR,Edirne,2005,7,#E30A17,#2C2C2C,privateer,31,390000,,0,0,7,"Bringt anatolische Fahrer in die Pyramide, die sonst nie eine Chance bekämen."
7013,Skagerrak Racing,Skagerrak,SKG,NOR,Kristiansand,2008,7,#BA0C2F,#00205B,privateer,30,370000,,0,0,7,"Fährt im Sommer, baut im Winter. Der Rhythmus ist seit fünfzehn Jahren derselbe."
7014,Pannonia Privateers,Pannonia,PNN,HUN,Győr,2011,7,#477050,#CD2A3E,privateer,28,340000,,0,0,7,"Ungarns einziges Team über Tier 8. Der Heimgrandprix ist das ganze Jahresbudget wert."
7015,Meridian Youth,Meridian Y,MRY,GBR,Northampton,2017,7,#1F3A93,#FFC300,academy,35,470000,,0,0,7,"Zweite Akademie eines großen Namens. Nimmt, wen die erste ablehnt."
7016,Lyon Espoirs,Lyon Espoirs,LYE,FRA,Lyon,2018,7,#0055A4,#EF4135,academy,32,410000,,0,0,7,"Französisches Nachwuchsprogramm mit staatlicher Förderung und entsprechender Bürokratie."
7017,Tokai Youth Racing,Tokai,TKY,JPN,Nagoya,2019,7,#D50032,#F0F0F0,academy,30,380000,,0,0,7,"Ableger eines Werksprogramms. Die besten drei Fahrer sind bereits weiterverkauft."
7018,Vistula Juniors,Vistula,VST,POL,Warsaw,2020,7,#DC143C,#FFFFFF,academy,27,330000,,0,0,7,"Jüngstes Projekt im nationalen Spitzensport. Noch ohne einen einzigen Podestplatz."
#
# ---- Tier 8: National Series (20) ----
8001,Padstow Racing,Padstow,PDS,GBR,Plymouth,1970,8,#36454F,#C2B280,traditional,37,320000,,0,0,6,"Südwestengland, Seeluft, Rost. Die Autos halten trotzdem."
8002,Marche Corse,Marche,MRC,ITA,Ancona,1978,8,#4F6D7A,#EAE0D5,traditional,34,290000,,0,0,7,"Fünf Jahrzehnte, ein Besitzer, kein einziger Sponsorenwechsel."
8003,Picardie Sport,Picardie,PCD,FRA,Amiens,1986,8,#2C3E50,#E8C39E,traditional,32,270000,,0,0,7,"Ehemaliges Formel-Ford-Team. Die Denkweise ist geblieben."
8004,Karpaty Climb,Karpaty,KPT,UKR,Lviv,2015,8,#0057B7,#FFD700,climber,35,300000,,0,0,8,"Aufgestiegen im ersten Jahr, seither jedes Jahr eine Position besser."
8005,Cordillera Racing,Cordillera,CDL,PER,Lima,2017,8,#D91023,#FFFFFF,climber,31,260000,,0,0,8,"Perus erstes Team in der Pyramide. Der Weg nach Europa ist teurer als das Auto."
8006,Rand Motorsport,Rand,RND,ZAF,Pretoria,2013,8,#007A4D,#DE3831,climber,29,240000,,0,0,8,"Zweites südafrikanisches Team. Verliert seine besten Leute regelmäßig an das erste."
8007,Torqbit Racing,Torqbit,TQB,GBR,Luton,2022,8,#00FFC8,#20202A,tech_startup,30,250000,,0,0,8,"Ein Jahr alt. Der Gründer war vorher Softwarearchitekt und hat es nie bereut."
8008,Havelock Privateers,Havelock,HVL,GBR,Hull,1988,8,#5F6B6D,#D6C9A8,privateer,31,255000,,0,0,8,"Die Werkstatt ist eine ehemalige Fischhalle. Die Ergebnisse sind besser als der Geruch."
8009,Rhône Privateers,Rhône,RHN,FRA,Valence,1993,8,#3A5A40,#DAD7CD,privateer,29,235000,,0,0,8,"Kauft alles gebraucht. Das Auto ist im Schnitt drei Jahre alt und trotzdem im Mittelfeld."
8010,Cantabria Sport,Cantabria,CNT,ESP,Santander,1996,8,#C60B1E,#FFC400,privateer,28,225000,,0,0,8,"Nordspanischer Kleinbetrieb. Zwei Mechaniker sind hauptberuflich Fischer."
8011,Friesland Racing,Friesland,FRL,NLD,Leeuwarden,1999,8,#005FAA,#FFFFFF,privateer,27,215000,,0,0,8,"Flach, windig, nass. Genau das trainieren sie das ganze Jahr."
8012,Bohemia Privateers,Bohemia,BHM,CZE,Plzeň,2002,8,#11457E,#D7141A,privateer,25,200000,,0,0,8,"Brauereisponsor seit 2002. Der Vertrag ist länger als jeder Fahrervertrag."
8013,Sava Racing,Sava,SVR,SRB,Belgrade,2006,8,#C6363C,#0C4076,privateer,24,190000,,0,0,8,"Balkanische Improvisationskunst. Ersatzteile entstehen manchmal über Nacht."
8014,Hellenic Privateers,Hellenic,HLN,GRC,Thessaloniki,2009,8,#0D5EAF,#FFFFFF,privateer,22,175000,,0,0,8,"Ein Auto pro Rennen wäre billiger. Sie fahren trotzdem zwei."
8015,Bothnia Racing,Bothnia,BTH,FIN,Vaasa,2012,8,#003580,#FFFFFF,privateer,21,165000,,0,0,8,"Finnische Wortkargheit als Teamkultur. Der Boxenfunk ist der leiseste im Feld."
8016,Aegir Youth Racing,Aegir Youth,AGR,ISL,Reykjavik,2016,8,#02529C,#DC1E35,academy,19,150000,,0,0,8,"Islands einziges Rennteam. Jedes Auswärtsrennen beginnt mit einer Schiffspassage."
